Id,Price
11001,435528.9896
11002,1047180.033
11003,1283059.836
11004,2475003.655
11005,2689523.167
11006,2558664.592
11007,2769779.985
11008,2423493.991
11009,489432.2499
11010,1105343.416
11011,3392771.219
11012,1426771.086
11013,1579446.222
11014,1676097.553
11015,728562.9339
11016,997768.3387
11017,2064460.692
11018,208688.5535
11019,695537.1712
11020,554197.826
11021,224337.9986
11022,764603.5842
11023,342295.8099
11024,480284.9358
11025,1550562.113
11026,2656866.032
11027,542894.5499
11028,459861.7184
11029,819423.444
11030,2042910.17
11031,783000.2925
11032,778242.3966
11033,1057363.964
11034,1139473.478
11035,701803.4448
11036,265834.9896
11037,716923.2865
11038,1025633.403
11039,1102363.286
11040,908221.2239
11041,2231562.872
11042,263134.5784
11043,1067334.166
11044,178114.265
11045,476594.5697
11046,455386.9758
11047,979196.6386
11048,715470.3076
11049,2275039.034
11050,1418711.209
11051,383357.6849
11052,643394.7275
11053,1858680.028
11054,999081.1124
11055,67016.57657
11056,1579808.016
11057,520193.6282
11058,1387699.025
11059,363630.7955
11060,979815.0609
11061,181275.4128
11062,891345.5415
11063,1926259.836
11064,608072.4082
11065,536921.335
11066,99743.84145
11067,2823425.493
11068,1009574.478
11069,855631.9327
11070,1618745.211
11071,1593313.107
11072,2348891.593
11073,652673.8652
11074,1155373.604
11075,778448.3378
11076,461427.0705
11077,286764.2082
11078,199442.9312
11079,977270.7156
11080,2686660.842
11081,70380.55505
11082,506452.3728
11083,1211996.04
11084,521040.2535
11085,468450.7477
11086,75650.75465
11087,672859.0492
11088,21803.10012
11089,897641.5118
11090,328760.8882
11091,2313955.083
11092,2442470.125
11093,146220.0674
11094,2886683.586
11095,679135.529
11096,526906.9585
11097,669261.6812
11098,1045049.85
11099,1514146.673
11100,2325055.859
11101,936054.1409
11102,987690.7765
11103,327192.4796
11104,1029618.734
11105,360522.5837
11106,813671.0172
11107,3490088.589
11108,378912.2146
11109,1757578.233
11110,213185.7267
11111,421777.616
11112,189976.2765
11113,1483601.281
11114,4408217.625
11115,563792.0272
11116,153356.981
11117,474299.3342
11118,326962.3889
11119,2016136.66
11120,927468.7312
11121,1600580.77
11122,751144.3871
11123,266403.8428
11124,1152475.395
11125,885173.8302
11126,429428.3879
11127,591968.3646
11128,606065.0159
11129,2027481.596
11130,2254725.486
11131,724478.7355
11132,730034.8169
11133,300142.8597
11134,3044171.047
11135,1151805.82
11136,289305.3704
11137,266783.3825
11138,944364.2356
11139,454236.9536
11140,3015276.676
11141,1615119.129
11142,1145210.087
11143,866067.8615
11144,2376299.703
11145,190458.6113
11146,1058846.652
11147,1375705.457
11148,1383017.266
11149,1059105.998
11150,892857.7434
11151,880398.8533
11152,1013459.082
11153,2752868.975
11154,1503490.796
11155,1517382.931
11156,926028.7864
11157,20668.50999
11158,1011482.856
11159,835208.2157
11160,827685.9753
11161,664982.0343
11162,1265306.422
11163,714487.464
11164,1201475.359
11165,1066300.219
11166,2411355.022
11167,165417.8151
11168,907167.0305
11169,940257.5158
11170,750738.0201
11171,1830911.401
11172,1150834.994
11173,863915.9355
11174,1736083.485
11175,550204.256
11176,728270.9936
11177,564257.6582
11178,2730132.512
11179,1090076.178
11180,1378693.479
11181,579858.4616
11182,1740089.401
11183,843271.5623
11184,339071.4252
11185,729154.2706
11186,1208177.402
11187,145945.5984
11188,800637.0157
11189,625396.75
11190,696343.2397
11191,1267328.553
11192,985480.8594
11193,1806493.364
11194,945283.3267
11195,470150.8528
11196,447318.5752
11197,823203.6108
11198,2931369.481
11199,391598.1888
11200,549493.2262
11201,531751.7971
11202,1025187.688
11203,890774.0706
11204,590767.1371
11205,115213.5708
11206,994096.9455
11207,1049958.2
11208,1163665.26
11209,664948.3296
11210,885006.1401
11211,1593172.383
11212,507712.9455
11213,1558101.617
11214,1820857.8
11215,337866.365
